Entity,Code,Year,Gas Consumption - TWh,,,
Austria,AUT,1965,17.52864694,,,
Austria,AUT,1966,18.82103417,,,
Austria,AUT,1967,18.03168361,,,
Austria,AUT,1968,19.22896972,,,
Austria,AUT,1969,23.32915694,,,
Austria,AUT,1970,28.29800222,,,
Austria,AUT,1971,32.50664667,,,
Austria,AUT,1972,35.1297525,,,
Austria,AUT,1973,38.61119917,,,
Austria,AUT,1974,41.85197,,,
Austria,AUT,1975,41.80161889,,,
Austria,AUT,1976,47.6101125,,,
Austria,AUT,1977,48.52033778,,,
Austria,AUT,1978,50.46823861,,,
Austria,AUT,1979,50.04036639,,,
Austria,AUT,1980,48.07397639,,,
Austria,AUT,1981,45.82409778,,,
Austria,AUT,1982,44.355265,,,
Austria,AUT,1983,45.25705944,,,
Austria,AUT,1984,50.38988889,,,
Austria,AUT,1985,53.99160444,,,
Austria,AUT,1986,52.421265,,,
Austria,AUT,1987,54.68577833,,,
Austria,AUT,1988,52.38502917,,,
Austria,AUT,1989,56.25981972,,,
Austria,AUT,1990,61.93490333,,,
Austria,AUT,1991,65.66419139,,,
Austria,AUT,1992,64.48223417,,,
Austria,AUT,1993,67.81245139,,,
Austria,AUT,1994,69.75149417,,,
Austria,AUT,1995,76.15716028,,,
Austria,AUT,1996,81.06088,,,
Austria,AUT,1997,78.12571611,,,
Austria,AUT,1998,80.20729139,,,
Austria,AUT,1999,81.92762833,,,
Austria,AUT,2000,78.20515417,,,
Austria,AUT,2001,82.88196083,,1965,0
Austria,AUT,2002,81.48536944,,1966,0
Austria,AUT,2003,89.62971833,,1967,0
Austria,AUT,2004,90.4923375,,1968,0
Austria,AUT,2005,95.27706444,,1969,0
Austria,AUT,2006,89.53200778,,1970,0
Austria,AUT,2007,84.70895417,,1971,0
Austria,AUT,2008,90.68554861,,1972,0
Austria,AUT,2009,88.31913861,,1973,0
Austria,AUT,2010,96.12812111,,1974,0
Austria,AUT,2011,90.41806694,,1975,0
Austria,AUT,2012,86.24141583,,1976,0
Austria,AUT,2013,82.00461139,,1977,0
Austria,AUT,2014,75.10975583,,1978,0
Austria,AUT,2015,79.68095,,1979,0
Austria,AUT,2016,83.42190278,,1980,0
Austria,AUT,2017,90.69853861,,1981,0
Austria,AUT,2018,86.86918917,,1982,0
Austria,AUT,2019,89.00441028,,1983,0
Austria,AUT,2020,85.27519028,,1984,0
Belarus,BLR,1985,86.53183861,1,1985,86.53183861
Belarus,BLR,1986,88.18871194,,1986,88.18871194
Belarus,BLR,1987,99.54344139,,1987,99.54344139
Belarus,BLR,1988,115.2603344,,1988,115.2603344
Belarus,BLR,1989,121.3823403,,1989,121.3823403
Belarus,BLR,1990,129.3250344,,1990,129.3250344
Belarus,BLR,1991,135.3487511,,1991,135.3487511
Belarus,BLR,1992,157.1782892,,1992,157.1782892
Belarus,BLR,1993,145.8329203,,1993,145.8329203
Belarus,BLR,1994,127.4856244,,1994,127.4856244
Belarus,BLR,1995,115.2603344,,1995,115.2603344
Belarus,BLR,1996,121.3823403,,1996,121.3823403
Belarus,BLR,1997,138.8403539,,1997,138.8403539
Belarus,BLR,1998,140.5908358,,1998,140.5908358
Belarus,BLR,1999,143.2118781,,1999,143.2118781
Belarus,BLR,2000,151.9362044,,2000,151.9362044
Belarus,BLR,2001,151.0656442,,2001,151.0656442
Belarus,BLR,2002,155.4278072,,2002,155.4278072
Belarus,BLR,2003,152.806765,,2003,152.806765
Belarus,BLR,2004,185.3436878,,2004,185.3436878
Belarus,BLR,2005,190.0266181,,2005,190.0266181
Belarus,BLR,2006,193.9477681,,2006,193.9477681
Belarus,BLR,2007,194.7153589,,2007,194.7153589
Belarus,BLR,2008,199.4145133,,2008,199.4145133
Belarus,BLR,2009,169.3198131,,2009,169.3198131
Belarus,BLR,2010,207.2836283,,2010,207.2836283
Belarus,BLR,2011,192.2618486,,2011,192.2618486
Belarus,BLR,2012,194.1009833,,2012,194.1009833
Belarus,BLR,2013,192.7027728,,2013,192.7027728
Belarus,BLR,2014,191.2143953,,2014,191.2143953
Belarus,BLR,2015,178.9891053,,2015,178.9891053
Belarus,BLR,2016,177.8751622,,2016,177.8751622
Belarus,BLR,2017,182.0875517,,2017,182.0875517
Belarus,BLR,2018,193.1427336,,2018,193.1427336
Belarus,BLR,2019,191.644995,,2019,191.644995
Belarus,BLR,2020,178.6505417,,2020,178.6505417
Belgium,BEL,1965,0.735,1,,
Belgium,BEL,1966,1.3265,,,
Belgium,BEL,1967,5.0555,,,
Belgium,BEL,1968,12.299,,,
Belgium,BEL,1969,25.335,,,
Belgium,BEL,1970,39.75175,,,
Belgium,BEL,1971,54.81475,,,
Belgium,BEL,1972,69.1135,,,
Belgium,BEL,1973,83.07225,,,
Belgium,BEL,1974,97.35675,,,
Belgium,BEL,1975,96.19475,,,
Belgium,BEL,1976,101.6115,,,
Belgium,BEL,1977,99.9695,,,
Belgium,BEL,1978,99.1245,,,
Belgium,BEL,1979,108.30525,,,
Belgium,BEL,1980,103.6315,,,
Belgium,BEL,1981,95.5805,,,
Belgium,BEL,1982,79.68625,,,
Belgium,BEL,1983,82.80875,,,
Belgium,BEL,1984,85.4505,,,
Belgium,BEL,1985,85.864,,,
Belgium,BEL,1986,77.095,,,
Belgium,BEL,1987,85.0165,,,
Belgium,BEL,1988,83.906,,,
Belgium,BEL,1989,93.24425,,,
Belgium,BEL,1990,95.6985,,,
Belgium,BEL,1991,102.078,,,
Belgium,BEL,1992,105.20125,,,
Belgium,BEL,1993,110.093,,,
Belgium,BEL,1994,112.576,,,
Belgium,BEL,1995,124.5255,,,
Belgium,BEL,1996,138.42075,,,
Belgium,BEL,1997,132.04475,,,
Belgium,BEL,1998,144.644,,,
Belgium,BEL,1999,154.46025,,,
Belgium,BEL,2000,155.26275,,,
Belgium,BEL,2001,153.376,,,
Belgium,BEL,2002,158.32525,,,
Belgium,BEL,2003,168.66575,,,
Belgium,BEL,2004,171.88,,,
Belgium,BEL,2005,168.93475,,,
Belgium,BEL,2006,173.889,,,
Belgium,BEL,2007,175.19025,,,
Belgium,BEL,2008,174.0145,,,
Belgium,BEL,2009,175.7406583,,,
Belgium,BEL,2010,194.04,,,
Belgium,BEL,2011,165.24,,,
Belgium,BEL,2012,167.4,,,
Belgium,BEL,2013,165.33,,,
Belgium,BEL,2014,144.63,,,
Belgium,BEL,2015,158.499,,,
Belgium,BEL,2016,161.892,,,
Belgium,BEL,2017,164.115,,,
Belgium,BEL,2018,168.741,,,
Belgium,BEL,2019,173.835,,,
Belgium,BEL,2020,169.9818,,,
Bulgaria,BGR,1965,0.562725,1,,
Bulgaria,BGR,1966,0.839475,,,
Bulgaria,BGR,1967,2.555325,,,
Bulgaria,BGR,1968,3.9114,,,
Bulgaria,BGR,1969,4.068225,,,
Bulgaria,BGR,1970,3.67155,,,
Bulgaria,BGR,1971,2.8765,,,
Bulgaria,BGR,1972,1.938,,,
Bulgaria,BGR,1973,1.9525,,,
Bulgaria,BGR,1974,4.2545,,,
Bulgaria,BGR,1975,11.29875,,,
Bulgaria,BGR,1976,19.76075,,,
Bulgaria,BGR,1977,25.2155,,,
Bulgaria,BGR,1978,26.90025,,,
Bulgaria,BGR,1979,28.7795,,,
Bulgaria,BGR,1980,36.9915,,,
Bulgaria,BGR,1981,40.23925,,,
Bulgaria,BGR,1982,44.528,,,
Bulgaria,BGR,1983,46.7895,,,
Bulgaria,BGR,1984,49.195,,,
Bulgaria,BGR,1985,53.658,,,
Bulgaria,BGR,1986,53.2855,,,
Bulgaria,BGR,1987,59.423,,,
Bulgaria,BGR,1988,57.7245,,,
Bulgaria,BGR,1989,59.42325,,,
Bulgaria,BGR,1990,63.0175,,,
Bulgaria,BGR,1991,53.2195,,,
Bulgaria,BGR,1992,47.12125,,,
Bulgaria,BGR,1993,43.84575,,,
Bulgaria,BGR,1994,43.86275,,,
Bulgaria,BGR,1995,52.93925,,,
Bulgaria,BGR,1996,54.08425,,,0
Bulgaria,BGR,1997,43.14725,,1966,0
Bulgaria,BGR,1998,36.1015,,1967,0
Bulgaria,BGR,1999,31.2785,,1968,0
Bulgaria,BGR,2000,34.06825,,1969,0
Bulgaria,BGR,2001,28.63925,,1970,0
Bulgaria,BGR,2002,25.393,,1971,0
Bulgaria,BGR,2003,26.833,,1972,0
Bulgaria,BGR,2004,26.19875,,1973,0
Bulgaria,BGR,2005,32.664,,1974,0
Bulgaria,BGR,2006,33.657,,1975,0
Bulgaria,BGR,2007,33.919,,1976,0
Bulgaria,BGR,2008,33.92125,,1977,0
Bulgaria,BGR,2009,24.26375,,1978,0
Bulgaria,BGR,2010,26.72275,,1979,0
Bulgaria,BGR,2011,30.5945,,1980,0
Bulgaria,BGR,2012,28.51225,,1981,0
Bulgaria,BGR,2013,27.544,,1982,0
Bulgaria,BGR,2014,27.3615,,1983,0
Bulgaria,BGR,2015,30.0035,,1984,0
Bulgaria,BGR,2016,31.2505,,1985,0
Bulgaria,BGR,2017,32.1365,,1986,0
Bulgaria,BGR,2018,30.22925,,1987,0
Bulgaria,BGR,2019,28.30875,,1988,0
Bulgaria,BGR,2020,29.2065,,1989,0
Croatia,HRV,1990,25.52275,1,1990,25.52275
Croatia,HRV,1991,23.636,,1991,23.636
Croatia,HRV,1992,24.5005,,1992,24.5005
Croatia,HRV,1993,25.8685,,1993,25.8685
Croatia,HRV,1994,24.339,,1994,24.339
Croatia,HRV,1995,22.495,,1995,22.495
Croatia,HRV,1996,25.20725,,1996,25.20725
Croatia,HRV,1997,26.12975,,1997,26.12975
Croatia,HRV,1998,25.118,,1998,25.118
Croatia,HRV,1999,25.4675,,1999,25.4675
Croatia,HRV,2000,25.6955,,2000,25.6955
Croatia,HRV,2001,26.925,,2001,26.925
Croatia,HRV,2002,27.567,,2002,27.567
Croatia,HRV,2003,27.40175,,2003,27.40175
Croatia,HRV,2004,28.41833333,,2004,28.41833333
Croatia,HRV,2005,27.48238889,,2005,27.48238889
Croatia,HRV,2006,27.17922222,,2006,27.17922222
Croatia,HRV,2007,31.22994444,,2007,31.22994444
Croatia,HRV,2008,30.27038889,,2008,30.27038889
Croatia,HRV,2009,27.94988889,,2009,27.94988889
Croatia,HRV,2010,30.61416667,,2010,30.61416667
Croatia,HRV,2011,29.89166667,,2011,29.89166667
Croatia,HRV,2012,28.06605556,,2012,28.06605556
Croatia,HRV,2013,26.53794444,,2013,26.53794444
Croatia,HRV,2014,23.48571111,,2014,23.48571111
Croatia,HRV,2015,24.21231111,,2015,24.21231111
Croatia,HRV,2016,25.24353333,,2016,25.24353333
Croatia,HRV,2017,28.99666944,,2017,28.99666944
Croatia,HRV,2018,26.65836667,,2018,26.65836667
Croatia,HRV,2019,27.98142222,,2019,27.98142222
Croatia,HRV,2020,29.0011375,,2020,29.0011375
Cyprus,CYP,1965,0,,,
Cyprus,CYP,1966,0,,,
Cyprus,CYP,1967,0,,,
Cyprus,CYP,1968,0,,,
Cyprus,CYP,1969,0,,,
Cyprus,CYP,1970,0,,,
Cyprus,CYP,1971,0,,,
Cyprus,CYP,1972,0,,,
Cyprus,CYP,1973,0,,,
Cyprus,CYP,1974,0,,,
Cyprus,CYP,1975,0,,,
Cyprus,CYP,1976,0,,,
Cyprus,CYP,1977,0,,,
Cyprus,CYP,1978,0,,,
Cyprus,CYP,1979,0,,,
Cyprus,CYP,1980,0,,,
Cyprus,CYP,1981,0,,,
Cyprus,CYP,1982,0,,,
Cyprus,CYP,1983,0,,,
Cyprus,CYP,1984,0,,,
Cyprus,CYP,1985,0,,,
Cyprus,CYP,1986,0,,,
Cyprus,CYP,1987,0,,,
Cyprus,CYP,1988,0,,,
Cyprus,CYP,1989,0,,,
Cyprus,CYP,1990,0,,,
Cyprus,CYP,1991,0,,,
Cyprus,CYP,1992,0,,,
Cyprus,CYP,1993,0,,,
Cyprus,CYP,1994,0,,,
Cyprus,CYP,1995,0,,,
Cyprus,CYP,1996,0,,,
Cyprus,CYP,1997,0,,,
Cyprus,CYP,1998,0,,,
Cyprus,CYP,1999,0,,,
Cyprus,CYP,2000,0,,,
Cyprus,CYP,2001,0,,,
Cyprus,CYP,2002,0,,,
Cyprus,CYP,2003,0,,,
Cyprus,CYP,2004,0,,,
Cyprus,CYP,2005,0,,,
Cyprus,CYP,2006,0,,,
Cyprus,CYP,2007,0,,,
Cyprus,CYP,2008,0,,,
Cyprus,CYP,2009,0,,,
Cyprus,CYP,2010,0,,,
Cyprus,CYP,2011,0,,,
Cyprus,CYP,2012,0,,,
Cyprus,CYP,2013,0,,,
Cyprus,CYP,2014,0,,,
Cyprus,CYP,2015,0,,,
Cyprus,CYP,2016,0,,,
Cyprus,CYP,2017,0,,,
Cyprus,CYP,2018,0,,,
Cyprus,CYP,2019,0,,,
Cyprus,CYP,2020,0,,,
Czechia,CZE,1965,4.2905,,,
Czechia,CZE,1966,4.49025,,,
Czechia,CZE,1967,5.39375,,,
Czechia,CZE,1968,6.65125,,,
Czechia,CZE,1969,7.294,,,
Czechia,CZE,1970,8.0125,,,
Czechia,CZE,1971,9.955,,,
Czechia,CZE,1972,10.8105,,,
Czechia,CZE,1973,11.8725,,,
Czechia,CZE,1974,14.47525,,,
Czechia,CZE,1975,16.572,,,
Czechia,CZE,1976,18.29625,,,
Czechia,CZE,1977,20.793,,,
Czechia,CZE,1978,23.299,,,
Czechia,CZE,1979,26.14075,,,
Czechia,CZE,1980,30.11125,,,
Czechia,CZE,1981,30.2075,,,
Czechia,CZE,1982,31.99775,,,
Czechia,CZE,1983,37.54175,,,
Czechia,CZE,1984,39.96025,,,
Czechia,CZE,1985,49.0635,,,
Czechia,CZE,1986,51.846,,,
Czechia,CZE,1987,56.556,,,
Czechia,CZE,1988,56.91625,,,
Czechia,CZE,1989,58.73775,,,
Czechia,CZE,1990,61.03075,,,
Czechia,CZE,1991,58.88975,,,
Czechia,CZE,1992,67.4505,,,
Czechia,CZE,1993,68.93175,,,
Czechia,CZE,1994,67.32975,,,
Czechia,CZE,1995,76.19525,,,
Czechia,CZE,1996,87.687,,,
Czechia,CZE,1997,89.18875,,,
Czechia,CZE,1998,89.38025,,,
Czechia,CZE,1999,89.8605,,,
Czechia,CZE,2000,87.22675,,,
Czechia,CZE,2001,93.414,,,
Czechia,CZE,2002,90.2725,,,
Czechia,CZE,2003,91.20475,,,
Czechia,CZE,2004,90.57325,,,
Czechia,CZE,2005,89.591,,,
Czechia,CZE,2006,88.31275,,,
Czechia,CZE,2007,84.1855,,,
Czechia,CZE,2008,83.42825,,,
Czechia,CZE,2009,79.1335,,,
Czechia,CZE,2010,93.84875,,,
Czechia,CZE,2011,79.1905,,,
Czechia,CZE,2012,79.7365,,,
Czechia,CZE,2013,80.78675,,,
Czechia,CZE,2014,71.898,,,
Czechia,CZE,2015,75.3945,,,
Czechia,CZE,2016,81.59975,,,
Czechia,CZE,2017,83.74775,,,
Czechia,CZE,2018,79.82825,,,
Czechia,CZE,2019,83.2495,,,
Czechia,CZE,2020,84.62375,,,
Denmark,DNK,1965,0,,,
Denmark,DNK,1966,0,,,
Denmark,DNK,1967,0,,,
Denmark,DNK,1968,0,,,
Denmark,DNK,1969,0,,,
Denmark,DNK,1970,0,,,
Denmark,DNK,1971,0,,,
Denmark,DNK,1972,0,,,
Denmark,DNK,1973,0,,,
Denmark,DNK,1974,0,,,
Denmark,DNK,1975,0,,,
Denmark,DNK,1976,0,,,
Denmark,DNK,1977,0,,,
Denmark,DNK,1978,0,,,
Denmark,DNK,1979,0,,,
Denmark,DNK,1980,0,,,
Denmark,DNK,1981,0,,,
Denmark,DNK,1982,0,,,
Denmark,DNK,1983,0.14595,,,
Denmark,DNK,1984,1.178025,,,
Denmark,DNK,1985,6.7137,,,
Denmark,DNK,1986,11.9679,,,
Denmark,DNK,1987,15.189225,,,
Denmark,DNK,1988,18.525225,,,
Denmark,DNK,1989,19.74495,,,
Denmark,DNK,1990,21.048075,,,
Denmark,DNK,1991,24.29581444,,,
Denmark,DNK,1992,25.54621111,,,
Denmark,DNK,1993,28.70731917,,,
Denmark,DNK,1994,32.07804361,,,
Denmark,DNK,1995,37.14420417,,,
Denmark,DNK,1996,43.75494417,,,
Denmark,DNK,1997,45.71891056,,,
Denmark,DNK,1998,49.29798222,,,
Denmark,DNK,1999,51.69367611,,,
Denmark,DNK,2000,51.01935083,,,
Denmark,DNK,2001,53.31487,,,
Denmark,DNK,2002,53.81795528,,,
Denmark,DNK,2003,54.40917639,,,
Denmark,DNK,2004,54.15029306,,,
Denmark,DNK,2005,52.00558222,,,
Denmark,DNK,2006,52.9829075,,,
Denmark,DNK,2007,47.48961306,,,
Denmark,DNK,2008,47.71609944,,,
Denmark,DNK,2009,45.82792278,,,
Denmark,DNK,2010,51.83978528,,,
Denmark,DNK,2011,43.47364556,,,
Denmark,DNK,2012,40.60289222,,,
Denmark,DNK,2013,38.297825,,,
Denmark,DNK,2014,32.89438222,,,
Denmark,DNK,2015,33.09252611,,,
Denmark,DNK,2016,33.65253278,,,
Denmark,DNK,2017,32.16213333,,,
Denmark,DNK,2018,31.20985833,,,
Denmark,DNK,2019,28.97777833,,,
Denmark,DNK,2020,23.2396225,,,
Europe,,1965,379.1453058,,,
Europe,,1966,429.2602533,,,
Europe,,1967,514.3610628,,,
Europe,,1968,666.4043031,,,
Europe,,1969,859.5315467,,,
Europe,,1970,1085.388258,,,
Europe,,1971,1336.557854,,,
Europe,,1972,1627.107404,,,
Europe,,1973,1849.198224,,,
Europe,,1974,2094.446442,,,
Europe,,1975,2248.595789,,,
Europe,,1976,2444.750286,,,
Europe,,1977,2560.344825,,,
Europe,,1978,2663.357785,,,
Europe,,1979,2811.931892,,,
Europe,,1980,2808.8427,,,
Europe,,1981,2781.23275,,,
Europe,,1982,2728.287374,,,
Europe,,1983,2837.048708,,,
Europe,,1984,2971.759658,,,
Europe,,1985,4026.460644,,,
Europe,,1986,4129.310083,,,
Europe,,1987,4311.67545,,,
Europe,,1988,4348.913122,,,
Europe,,1989,4469.701156,,,
Europe,,1990,4826.920531,,,
Europe,,1991,4886.940125,,,
Europe,,1992,4618.963856,,,
Europe,,1993,4642.213758,,,
Europe,,1994,4508.473206,,,
Europe,,1995,4762.982092,,,
Europe,,1996,5277.245117,,,
Europe,,1997,5155.935858,,,
Europe,,1998,5230.536908,,,
Europe,,1999,5438.862869,,,
Europe,,2000,5584.936153,,,
Europe,,2001,5694.591803,,,
Europe,,2002,5712.716067,,,
Europe,,2003,5971.038094,,,
Europe,,2004,6115.665825,,,
Europe,,2005,6275.513278,,,
Europe,,2006,6228.661342,,,
Europe,,2007,6173.632106,,,
Europe,,2008,6259.033311,,,
Europe,,2009,5774.758539,,,
Europe,,2010,6229.469294,,,
Europe,,2011,5804.173806,,,
Europe,,2012,5657.226653,,,
Europe,,2013,5543.861186,,,
Europe,,2014,5000.054186,,,
Europe,,2015,5092.000225,,,
Europe,,2016,5374.38865,,,
Europe,,2017,5588.029269,,,
Europe,,2018,5483.245992,,,
Europe,,2019,5534.740714,,,
Europe,,2020,5410.972264,,,
European Union,,1965,367.0913608,,,
European Union,,1966,416.6446483,,,
European Union,,1967,495.3582728,,,
European Union,,1968,628.4307581,,,
European Union,,1969,789.8718492,,,
European Union,,1970,956.7551828,,,
European Union,,1971,1133.068564,,,
European Union,,1972,1340.764441,,,
European Union,,1973,1538.979889,,,
European Union,,1974,1723.564659,,,
European Union,,1975,1857.868119,,,
European Union,,1976,2030.190241,,,
European Union,,1977,2115.397545,,,
European Union,,1978,2197.08166,,,
European Union,,1979,2298.784417,,,
European Union,,1980,2290.25008,,,
European Union,,1981,2253.893216,,,
European Union,,1982,2193.687351,,,
European Union,,1983,2276.896843,,,
European Union,,1984,2394.410672,,,
European Union,,1985,2511.422884,,,
European Union,,1986,2547.80737,,,
European Union,,1987,2681.791396,,,
European Union,,1988,2679.201312,,,
European Union,,1989,2773.62452,,,
European Union,,1990,2913.043056,,,
European Union,,1991,2982.06865,,,
European Union,,1992,2883.697469,,,
European Union,,1993,2941.936714,,,
European Union,,1994,2905.958781,,,
European Union,,1995,3147.951933,,,
European Union,,1996,3419.710022,,,
European Union,,1997,3328.076722,,,
European Union,,1998,3419.599717,,,
European Union,,1999,3505.422731,,,
European Union,,2000,3588.841083,,,
European Union,,2001,3713.280447,,,
European Union,,2002,3739.978883,,,
European Union,,2003,3941.938117,,,
European Union,,2004,4048.062569,,,
European Union,,2005,4186.891983,,,
European Union,,2006,4173.682669,,,
European Union,,2007,4105.031917,,,
European Union,,2008,4187.076772,,,
European Union,,2009,3933.273572,,,
European Union,,2010,4228.098186,,,
European Union,,2011,3890.439269,,,
European Union,,2012,3821.749625,,,
European Union,,2013,3745.064425,,,
European Union,,2014,3313.778372,,,
European Union,,2015,3467.134878,,,
European Union,,2016,3681.617617,,,
European Union,,2017,3851.744083,,,
European Union,,2018,3780.570478,,,
European Union,,2019,3912.177708,,,
European Union,,2020,3799.387092,,,
Finland,FIN,1965,0,,,
Finland,FIN,1966,0,,,
Finland,FIN,1967,0,,,
Finland,FIN,1968,0,,,
Finland,FIN,1969,0,,,
Finland,FIN,1970,0,,,
Finland,FIN,1971,0,,,
Finland,FIN,1972,0,,,
Finland,FIN,1973,0,,,
Finland,FIN,1974,4.444444444,,,
Finland,FIN,1975,7.355,,,
Finland,FIN,1976,8.618333333,,,
Finland,FIN,1977,8.765,,,
Finland,FIN,1978,9.543333333,,,
Finland,FIN,1979,9.509444444,,,
Finland,FIN,1980,8.945555556,,,
Finland,FIN,1981,7.118055556,,,
Finland,FIN,1982,6.723333333,,,
Finland,FIN,1983,6.520277778,,,
Finland,FIN,1984,7.467777778,,,
Finland,FIN,1985,9.475555556,,,
Finland,FIN,1986,11.47222222,,,
Finland,FIN,1987,15.17222222,,,
Finland,FIN,1988,16.32,,,
Finland,FIN,1989,21.4,,,
Finland,FIN,1990,25.21,,,
Finland,FIN,1991,26.57,,,
Finland,FIN,1992,27.59,,,
Finland,FIN,1993,28.51,,,
Finland,FIN,1994,31.47,,,
Finland,FIN,1995,32.68,,,
Finland,FIN,1996,34.18944444,,,
Finland,FIN,1997,33.63833333,,,
Finland,FIN,1998,38.53638889,,,
Finland,FIN,1999,38.58,,,
Finland,FIN,2000,39.41,,,
Finland,FIN,2001,42.76,,,
Finland,FIN,2002,42.46,,,
Finland,FIN,2003,47,,,
Finland,FIN,2004,45.28,,,
Finland,FIN,2005,41.43,,,
Finland,FIN,2006,44.28,,,
Finland,FIN,2007,40.96,,,
Finland,FIN,2008,41.88055556,,,
Finland,FIN,2009,37.38,,,
Finland,FIN,2010,41.3,,,
Finland,FIN,2011,36.12,,,
Finland,FIN,2012,31.945,,,
Finland,FIN,2013,29.70666667,,,
Finland,FIN,2014,26.55666667,,,
Finland,FIN,2015,22.87861111,,,
Finland,FIN,2016,20.07666667,,,
Finland,FIN,2017,18.32416667,,,
Finland,FIN,2018,21.01277778,,,
Finland,FIN,2019,20.36111111,,,
Finland,FIN,2020,19.57611111,,,
France,FRA,1965,50.04699528,,,
France,FRA,1966,52.79650167,,,
France,FRA,1967,60.33925444,,,
France,FRA,1968,72.1564975,,,
France,FRA,1969,83.85049722,,,
France,FRA,1970,95.52925028,,,
France,FRA,1971,113.2255047,,,
France,FRA,1972,133.8877467,,,
France,FRA,1973,157.0365056,,,
France,FRA,1974,163.9592517,,,
France,FRA,1975,182.8700036,,,
France,FRA,1976,196.4532506,,,
France,FRA,1977,205.0852458,,,
France,FRA,1978,218.7795011,,,
France,FRA,1979,242.3760036,,,
France,FRA,1980,251.719755,,,
France,FRA,1981,255.7169975,,,
France,FRA,1982,245.7722542,,,
France,FRA,1983,261.8024997,,,
France,FRA,1984,266.9920033,,,
France,FRA,1985,285.7915031,,,
France,FRA,1986,287.4152486,,,
France,FRA,1987,290.8160003,,,
France,FRA,1988,289.36125,,,
